Chicken_No,Weight
1,2.0541
2,2.0078
3,2.0333
4,2.0785
5,2.2482
6,2.2852
7,2.2718
8,2.1745
9,2.2015
10,1.9368
11,2.1767
12,2.0214
13,2.0473
14,2.0768
15,2.0465
16,2.1617
17,2.1764
18,1.9815
19,1.9886
20,2.2356
21,1.9574
22,2.0497
23,2.0413
24,2.0273
25,2.1063
26,2.1689
27,1.9431
28,1.9598
29,1.9699
30,1.926
31,2.1551
32,2.2541
33,1.964
34,1.9078
35,2.1186
36,1.9268
37,2.2437
38,2.1095
39,2.2139
40,2.1921
41,2.1037
42,2.2197
43,2.0211
44,2.2132
45,2.2228
46,2.0901
47,1.9231
48,2.0171
49,2.1877
50,2.0104
51,2.0222
52,2.1909
53,2.0335
54,2.0728
55,1.9096
56,1.9197
57,2.092
58,2.1662
59,2.0902
60,2.1217
61,1.9917
62,2.2333
63,2.1816
64,1.9212
65,1.9489
66,2.1293
67,2.2335
68,2.293
69,2.0653
70,2.2939
71,2.2055
72,2.2777
73,2.182
74,2.2164
75,2.142
76,2.238
77,2.19
78,2.2922
79,2.0115
80,2.2351
81,2.2217
82,2.2536
83,2.0218
84,2.1582
85,2.1718
86,2.1491
87,2.0459
88,2.1044
89,2.2201
90,2.0324
