Day,Date,Time,Temperature,Humidity,Gas Level
1,2023-12-12,0,22.19,54.53,25.653635393160542
1,2023-12-12,1,22.04,53.89,24.808470713483427
1,2023-12-12,2,22.03,53.66,24.235119141751255
1,2023-12-12,3,21.7,54.15,16.944072120538017
1,2023-12-12,4,21.63,54.42,14.352754293342013
1,2023-12-12,5,21.48,54.53,16.48302627873381
1,2023-12-12,6,21.31,54.59,14.875503496206893
1,2023-12-12,7,21.11,54.96,16.202185342170587
1,2023-12-12,8,21.0,55.35,13.700010185523979
1,2023-12-12,9,20.9,56.58,15.59462964399687
1,2023-12-12,10,21.3,55.56,19.2121994564915
1,2023-12-12,11,21.78,55.0,19.934635239527328
1,2023-12-12,12,22.5,54.18,24.996982056211294
1,2023-12-12,13,23.26,53.04,24.23379324445301
1,2023-12-12,14,23.89,51.58,21.258147337537693
1,2023-12-12,15,24.2,49.87,14.106298885205907
1,2023-12-12,16,23.56,54.54,17.973892135616715
1,2023-12-12,17,23.09,56.13,21.209009089008596
1,2023-12-12,18,23.0,55.96,15.907763395667322
1,2023-12-12,19,22.91,55.43,17.680580928712914
1,2023-12-12,20,22.69,55.45,10.630488310660287
1,2023-12-12,21,22.52,55.29,17.694138021189175
1,2023-12-12,22,22.44,55.36,23.837030308191004
1,2023-12-12,23,22.29,54.99,16.487798034721536
2,2023-12-13,0,21.9,53.14,11.65107612748581
2,2023-12-13,1,21.53,54.32,13.18537549966752
2,2023-12-13,2,21.1,54.32,11.233299810453929
2,2023-12-13,3,20.77,54.5,25.134384032281595
2,2023-12-13,4,20.57,54.95,19.428120570465687
2,2023-12-13,5,20.51,55.09,18.75598030261003
2,2023-12-13,6,20.28,55.3,10.768943928750002
2,2023-12-13,7,20.13,55.05,18.748698280866087
2,2023-12-13,8,19.8,55.61,24.87814341231796
2,2023-12-13,9,19.96,56.49,21.84758382255336
2,2023-12-13,10,20.94,54.69,11.377193294908315
2,2023-12-13,11,21.98,53.67,17.672385267288497
2,2023-12-13,12,22.5,54.18,23.69627127152971
2,2023-12-13,13,23.26,53.04,25.018190109920155
2,2023-12-13,14,23.89,51.58,19.062049172798503
2,2023-12-13,15,24.2,49.87,13.463918240668367
2,2023-12-13,16,25.62,38.75,11.586530489898502
2,2023-12-13,17,25.14,38.93,23.615602227221594
2,2023-12-13,18,24.09,44.39,12.583934537560191
2,2023-12-13,19,23.41,48.53,18.788364255721838
2,2023-12-13,20,23.24,48.48,21.662913688464165
2,2023-12-13,21,22.76,50.34,13.226757682087403
2,2023-12-13,22,22.34,51.8,17.465760463204735
2,2023-12-13,23,22.11,52.21,24.353666016547525
3,2023-12-14,0,23.0,52.5,20.034786152619567
3,2023-12-14,1,22.77,53.19,10.990591137921069
3,2023-12-14,2,22.32,53.87,10.756671828148361
3,2023-12-14,3,21.88,53.94,10.249921185286182
3,2023-12-14,4,21.63,54.08,18.506827716155186
3,2023-12-14,5,21.4,54.28,14.411101128639912
3,2023-12-14,6,21.21,54.41,12.320029167445897
3,2023-12-14,7,20.99,54.45,17.917184460191393
3,2023-12-14,8,20.54,54.27,20.291547394995092
3,2023-12-14,9,20.34,54.49,11.988386581022297
3,2023-12-14,10,20.25,55.25,19.749992971852834
3,2023-12-14,11,20.75,56.78,13.409399726452506
3,2023-12-14,12,21.76,57.35,24.34260419402714
3,2023-12-14,13,23.16,57.29,25.94639254088206
3,2023-12-14,14,24.38,56.29,21.362894561740802
3,2023-12-14,15,25.1,54.91,23.802718155434587
3,2023-12-14,16,23.9,48.64,13.59313899706652
3,2023-12-14,17,25.16,43.53,23.188414300106878
3,2023-12-14,18,25.29,41.29,12.735756648871458
3,2023-12-14,19,24.8,44.22,25.049944487815814
3,2023-12-14,20,24.07,48.2,19.88614743137769
3,2023-12-14,21,23.97,48.62,17.1827057449216
3,2023-12-14,22,23.59,50.27,11.857508599341882
3,2023-12-14,23,23.24,51.73,23.041083920236055
4,2023-12-15,0,23.22,56.17,12.998418533889447
4,2023-12-15,1,22.88,55.83,14.330619065546593
4,2023-12-15,2,22.53,55.49,20.573064162530784
4,2023-12-15,3,22.15,55.59,15.62576572453843
4,2023-12-15,4,22.02,55.49,19.222160692147895
4,2023-12-15,5,21.86,55.01,20.843830515449902
4,2023-12-15,6,21.69,54.12,20.123214359615545
4,2023-12-15,7,21.39,53.69,12.129149543341155
4,2023-12-15,8,21.11,53.5,21.84849407628367
4,2023-12-15,9,20.84,53.51,18.430591558814356
4,2023-12-15,10,20.52,54.26,10.794150982716445
4,2023-12-15,11,21.07,54.87,17.162246766694388
4,2023-12-15,12,22.12,53.82,21.554370630308217
4,2023-12-15,13,23.31,54.14,14.577112788906996
4,2023-12-15,14,24.38,56.29,22.57638340390545
4,2023-12-15,15,25.1,54.91,16.059591673362693
4,2023-12-15,16,25.65,53.35,25.384922905650768
4,2023-12-15,17,26.12,50.89,21.439785203224915
4,2023-12-15,18,25.95,49.95,17.847739590254
4,2023-12-15,19,25.41,52.02,20.775527676717147
4,2023-12-15,20,24.69,54.38,13.915633264198187
4,2023-12-15,21,24.09,54.94,25.227500526704347
4,2023-12-15,22,23.75,55.62,23.351697264649786
4,2023-12-15,23,23.59,56.31,13.239280889222897
5,2023-12-16,0,23.22,56.17,16.56050341754574
5,2023-12-16,1,22.88,55.83,22.70753848221992
5,2023-12-16,2,22.53,55.49,25.078893927246614
5,2023-12-16,3,23.15,52.59,14.225078977626886
5,2023-12-16,4,22.62,53.93,23.093948547412467
5,2023-12-16,5,22.37,54.73,20.377309504304957
5,2023-12-16,6,22.13,54.81,10.37311788856467
5,2023-12-16,7,21.86,54.77,19.98463518375327
5,2023-12-16,8,21.42,55.28,14.461936289491288
5,2023-12-16,9,21.41,55.37,15.23112547376836
5,2023-12-16,10,21.24,55.37,16.58677909389843
5,2023-12-16,11,20.9,55.86,16.489522446773147
5,2023-12-16,12,20.69,55.99,22.10627976325336
5,2023-12-16,13,20.44,56.31,18.472583292052867
5,2023-12-16,14,20.35,56.69,21.200758528285192
5,2023-12-16,15,21.24,56.46,16.510080857722585
5,2023-12-16,16,23.23,53.67,19.08790767236796
5,2023-12-16,17,24.86,52.15,21.346707155896958
5,2023-12-16,18,25.44,48.62,19.147490988324755
5,2023-12-16,19,24.88,51.23,10.388469389380795
5,2023-12-16,20,25.09,50.74,24.672972290217025
5,2023-12-16,21,24.77,51.55,18.75707543067051
5,2023-12-16,22,23.75,55.62,24.471875523258824
5,2023-12-16,23,23.59,56.31,10.253134747871856
6,2023-12-17,0,22.76,60.63,13.956110365183939
6,2023-12-17,1,22.97,59.64,10.115109438038276
6,2023-12-17,2,22.7,59.26,15.087246405933971
6,2023-12-17,3,22.61,59.02,25.388013621574867
6,2023-12-17,4,22.43,58.74,25.70494247657031
6,2023-12-17,5,22.13,58.6,20.046238213810625
