Day,Date,Time,Temperature,Humidity,Gas Level
1,2023-12-12,0,22.19,54.53,0.0
1,2023-12-12,1,22.04,53.89,0.0
1,2023-12-12,2,22.03,53.66,0.0
1,2023-12-12,3,21.7,54.15,0.0
1,2023-12-12,4,21.63,54.42,0.0
1,2023-12-12,5,21.48,54.53,0.0
1,2023-12-12,6,21.31,54.59,0.0
1,2023-12-12,7,21.11,54.96,0.0
1,2023-12-12,8,21.0,55.35,0.0
1,2023-12-12,9,20.9,56.58,0.0
1,2023-12-12,10,21.3,55.56,0.0
1,2023-12-12,11,21.78,55.0,0.0
1,2023-12-12,12,22.5,54.18,0.0
1,2023-12-12,13,23.26,53.04,0.0
1,2023-12-12,14,23.89,51.58,0.0
1,2023-12-12,15,24.2,49.87,0.0
1,2023-12-12,16,23.56,54.54,0.0
1,2023-12-12,17,23.09,56.13,0.0
1,2023-12-12,18,23.0,55.96,0.0
1,2023-12-12,19,22.91,55.43,0.0
1,2023-12-12,20,22.69,55.45,0.0
1,2023-12-12,21,22.52,55.29,0.0
1,2023-12-12,22,22.44,55.36,0.0
1,2023-12-12,23,22.29,54.99,0.0
2,2023-12-13,0,21.9,53.14,0.0
2,2023-12-13,1,21.53,54.32,0.0
2,2023-12-13,2,21.1,54.32,0.0
2,2023-12-13,3,20.77,54.5,0.0
2,2023-12-13,4,20.57,54.95,0.0
2,2023-12-13,5,20.51,55.09,0.0
2,2023-12-13,6,20.28,55.3,0.0
2,2023-12-13,7,20.13,55.05,0.0
2,2023-12-13,8,19.8,55.61,0.0
2,2023-12-13,9,19.96,56.49,0.0
2,2023-12-13,10,20.94,54.69,0.0
2,2023-12-13,11,21.98,53.67,0.0
2,2023-12-13,12,22.5,54.18,0.0
2,2023-12-13,13,23.26,53.04,0.0
2,2023-12-13,14,23.89,51.58,0.0
2,2023-12-13,15,24.2,49.87,0.0
2,2023-12-13,16,25.62,38.75,0.0
2,2023-12-13,17,25.14,38.93,0.0
2,2023-12-13,18,24.09,44.39,0.0
2,2023-12-13,19,23.41,48.53,0.0
2,2023-12-13,20,23.24,48.48,0.0
2,2023-12-13,21,22.76,50.34,0.0
2,2023-12-13,22,22.34,51.8,0.0
2,2023-12-13,23,22.11,52.21,0.0
3,2023-12-14,0,23.0,52.5,0.0
3,2023-12-14,1,22.77,53.19,0.0
3,2023-12-14,2,22.32,53.87,0.0
3,2023-12-14,3,21.88,53.94,0.0
3,2023-12-14,4,21.63,54.08,0.0
3,2023-12-14,5,21.4,54.28,0.0
3,2023-12-14,6,21.21,54.41,0.0
3,2023-12-14,7,20.99,54.45,0.0
3,2023-12-14,8,20.54,54.27,0.0
3,2023-12-14,9,20.34,54.49,0.0
3,2023-12-14,10,20.25,55.25,0.0
3,2023-12-14,11,20.75,56.78,0.0
3,2023-12-14,12,21.76,57.35,0.0
3,2023-12-14,13,23.16,57.29,0.0
3,2023-12-14,14,24.38,56.29,0.0
3,2023-12-14,15,25.1,54.91,0.0
3,2023-12-14,16,23.9,48.64,0.0
3,2023-12-14,17,25.16,43.53,0.0
3,2023-12-14,18,25.29,41.29,0.0
3,2023-12-14,19,24.8,44.22,0.0
3,2023-12-14,20,24.07,48.2,0.0
3,2023-12-14,21,23.97,48.62,0.0
3,2023-12-14,22,23.59,50.27,0.0
3,2023-12-14,23,23.24,51.73,0.0
4,2023-12-15,0,23.22,56.17,0.0
4,2023-12-15,1,22.88,55.83,0.0
4,2023-12-15,2,22.53,55.49,0.0
4,2023-12-15,3,22.15,55.59,0.0
4,2023-12-15,4,22.02,55.49,0.0
4,2023-12-15,5,21.86,55.01,0.0
4,2023-12-15,6,21.69,54.12,0.0
4,2023-12-15,7,21.39,53.69,0.0
4,2023-12-15,8,21.11,53.5,0.0
4,2023-12-15,9,20.84,53.51,0.0
4,2023-12-15,10,20.52,54.26,0.0
4,2023-12-15,11,21.07,54.87,0.0
4,2023-12-15,12,22.12,53.82,0.0
4,2023-12-15,13,23.31,54.14,0.0
4,2023-12-15,14,24.38,56.29,0.0
4,2023-12-15,15,25.1,54.91,0.0
4,2023-12-15,16,25.65,53.35,0.0
4,2023-12-15,17,26.12,50.89,0.0
4,2023-12-15,18,25.95,49.95,0.0
4,2023-12-15,19,25.41,52.02,0.0
4,2023-12-15,20,24.69,54.38,0.0
4,2023-12-15,21,24.09,54.94,0.0
4,2023-12-15,22,23.75,55.62,0.0
4,2023-12-15,23,23.59,56.31,0.0
5,2023-12-16,0,23.22,56.17,0.0
5,2023-12-16,1,22.88,55.83,0.0
5,2023-12-16,2,22.53,55.49,0.0
5,2023-12-16,3,23.15,52.59,0.0
